mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.0017241636912027996,0.00022611890324001198,0.0,0.0,gini,None,1,2,"{'criterion': 'gini', 'max_depth': 'None', 'min_samples_leaf': 1, 'min_samples_split': 2}",,,,,,55
0.002887725830078125,0.00026343372185775693,0.0,0.0,gini,None,1,5,"{'criterion': 'gini', 'max_depth': 'None', 'min_samples_leaf': 1, 'min_samples_split': 5}",,,,,,55
0.0025287469228108725,0.0007818879373917462,0.0,0.0,gini,None,1,10,"{'criterion': 'gini', 'max_depth': 'None', 'min_samples_leaf': 1, 'min_samples_split': 10}",,,,,,55
0.0012168089548746746,7.507329562705635e-05,0.0,0.0,gini,None,2,2,"{'criterion': 'gini', 'max_depth': 'None', 'min_samples_leaf': 2, 'min_samples_split': 2}",,,,,,55
0.0011483828226725261,0.0002861388721749898,0.0,0.0,gini,None,2,5,"{'criterion': 'gini', 'max_depth': 'None', 'min_samples_leaf': 2, 'min_samples_split': 5}",,,,,,55
0.0010657310485839844,8.00407307244323e-05,0.0,0.0,gini,None,2,10,"{'criterion': 'gini', 'max_depth': 'None', 'min_samples_leaf': 2, 'min_samples_split': 10}",,,,,,55
0.0008904933929443359,0.00013358988217914818,0.0,0.0,gini,None,4,2,"{'criterion': 'gini', 'max_depth': 'None', 'min_samples_leaf': 4, 'min_samples_split': 2}",,,,,,55
0.0007223288218180338,3.736221910756918e-05,0.0,0.0,gini,None,4,5,"{'criterion': 'gini', 'max_depth': 'None', 'min_samples_leaf': 4, 'min_samples_split': 5}",,,,,,55
0.0010501543680826824,8.250438863987809e-05,0.0,0.0,gini,None,4,10,"{'criterion': 'gini', 'max_depth': 'None', 'min_samples_leaf': 4, 'min_samples_split': 10}",,,,,,55
0.0046986738840738935,0.0007199862486349933,0.005988915761311849,0.0014340080514077655,gini,10,1,2,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2}",-0.5601783060921253,-0.1829713451359738,-1.60021152829191,-0.7811203931733365,0.5993073716498732,28
0.00529932975769043,0.0007212944487483822,0.0022781689961751304,0.0003569619194900013,gini,10,1,5,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5}",-0.5601783060921253,-0.5093082679321044,-1.705270579940068,-0.9249190513214325,0.5521825310279692,50
0.00578769048055013,0.0015989975355687992,0.0019966761271158853,0.00010821092983034115,gini,10,1,10,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10}",-0.5863997902281273,-0.5229056397152765,-1.285034373347436,-0.7981132677636132,0.3452795959649381,32
0.003113905588785807,0.00014716708540194292,0.001722574234008789,3.863411047826903e-05,gini,10,2,2,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2}",-0.8223931474521462,-0.4141266654498996,-1.495152476643752,-0.9105574298485992,0.44570835504448636,48
0.004419088363647461,0.00191550617396202,0.0036405722300211587,0.0014061199387618338,gini,10,2,5,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5}",-0.9403898260641557,-0.5093082679321044,-1.4032258064516139,-0.9509746334826247,0.3650170498568154,52
0.004134337107340495,0.0006177923744008185,0.0025070508321126304,0.0003208322397456916,gini,10,2,10,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10}",-0.6126212743641295,-0.4005292936667275,-1.2325048475233569,-0.748551805184738,0.3529907104166157,20
0.004056294759114583,0.0005544539893199797,0.00259248415629069,0.0002749694564326792,gini,10,4,2,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2}",-1.0714972467441664,-0.6044898704143093,-0.7860038780186855,-0.8206636650590537,0.1922237377205478,35
