mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.22907431920369467,0.010032568409530691,0.01259454091389974,0.0005684105049217634,10,1,5,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-0.507735337820121,-0.019802883737908505,-0.10312004230565863,-0.21021942128789606,0.21310752789841142,6
0.48109666506449383,0.05642455601376766,0.029937267303466797,0.005267294455141101,10,1,5,200,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-0.4552923695481168,-0.07419237087059694,-0.08998766084963905,-0.20649080042278425,0.17604741481733688,5
0.12176601092020671,0.009249945222642025,0.010677019755045572,0.002486177410980472,10,1,10,50,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50}",-0.507735337820121,0.034586603394780036,-0.08998766084963905,-0.18771213175832668,0.23193508594944098,1
0.21030831336975098,0.011402026486388404,0.013176202774047852,0.0012709050498507886,10,1,10,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",-0.507735337820121,-0.1829713451359738,-0.14251718667371804,-0.2777412898766043,0.16346677807494675,53
0.4523637294769287,0.046225862824716336,0.026291052500406902,0.0038992576258576697,10,1,10,200,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",-0.507735337820121,-0.07419237087059694,-0.10312004230565863,-0.22834925033212553,0.19790846698251044,16
0.11120208104451497,0.003920961569677667,0.008077621459960938,0.0011130442775534946,10,2,2,50,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",-0.6650642426361337,-0.019802883737908505,-0.15564956812973763,-0.28017223150125997,0.27775285848111947,63
0.24555571873982748,0.021420504997127728,0.013755877812703451,0.0015574730415307404,10,2,2,100,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-0.5601783060921253,-0.07419237087059694,-0.14251718667371804,-0.25896262121214675,0.2148103609030044,36
0.5071333249409994,0.06927458116454044,0.024799505869547527,0.0028575295892177576,10,2,2,200,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",-0.507735337820121,-0.019802883737908505,-0.08998766084963905,-0.2058419608025562,0.2153852115781675,3
0.12194426854451497,0.01807565447546351,0.008687178293863932,0.001329780436528432,10,2,5,50,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",-0.5601783060921253,-0.019802883737908505,-0.14251718667371804,-0.24083279216791728,0.23130192099489474,23
0.2229447364807129,0.018067579345892648,0.012431939442952475,0.0007049913976500355,10,2,5,100,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",-0.4552923695481168,-0.1829713451359738,-0.19504671249779704,-0.2777701423939625,0.12562393475384936,56
0.5023440519968668,0.06751235446411366,0.03022877375284831,0.003999175416694496,10,2,5,200,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",-0.507735337820121,-0.12858185800328537,-0.14251718667371804,-0.2596114608323748,0.17554228758309853,38
0.1136329174041748,0.01268848608658121,0.0074850718180338545,0.0008171046892555308,10,2,10,50,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}",-0.4552923695481168,-0.07419237087059694,-0.19504671249779704,-0.2415104843055036,0.15901459852468552,26
0.2537268002827962,0.05523030993468887,0.0188601811726888,0.007926709325904646,10,2,10,100,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",-0.507735337820121,-0.1829713451359738,-0.10312004230565863,-0.2646089084205845,0.17497981435078075,48
0.5438459714253744,0.03072522145498823,0.02331717809041341,0.0025977762078138785,10,2,10,200,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",-0.507735337820121,-0.07419237087059694,-0.10312004230565863,-0.22834925033212553,0.19790846698251044,16
0.11325701077779134,0.015303595145070518,0.00796802838643392,0.0005265712159904348,10,4,2,50,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 50}",-0.507735337820121,-0.1829713451359738,-0.14251718667371804,-0.2777412898766043,0.16346677807494675,53
0.21225349108378092,0.0023382083048727655,0.013428449630737305,0.00038615169853900935,10,4,2,100,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",-0.5601783060921253,-0.23736083226866223,-0.19504671249779704,-0.33086195028619486,0.16306872674444117,79
0.5364410877227783,0.16478252371747185,0.03171690305074056,0.012836908271111322,10,4,2,200,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",-0.5601783060921253,-0.23736083226866223,-0.14251718667371804,-0.3133521083448352,0.178775852579374,76
0.13070011138916016,0.01821982492174003,0.009904305140177408,0.0011622954610303385,10,4,5,50,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50}",-0.5601783060921253,-0.23736083226866223,-0.08998766084963905,-0.2958422664034755,0.19635829381046402,70
0.23821512858072916,0.025385040652096708,0.01310571034749349,0.0012134671937256592,10,4,5,100,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",-0.507735337820121,-0.1829713451359738,-0.19504671249779704,-0.295251131817964,0.1503298749960812,69
0.4245442549387614,0.014558421438788967,0.023923635482788086,0.0020455891431430243,10,4,5,200,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}",-0.5601783060921253,-0.1829713451359738,-0.14251718667371804,-0.2952222793006057,0.18807871904087334,67
0.13592743873596191,0.02360307948563879,0.008939743041992188,0.0009128520499893358,10,4,10,50,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50}",-0.5601783060921253,-0.23736083226866223,-0.08998766084963905,-0.2958422664034755,0.19635829381046402,70
0.20972371101379395,0.0036190911438817005,0.01357126235961914,0.001085500511371349,10,4,10,100,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",-0.507735337820121,-0.23736083226866223,-0.14251718667371804,-0.2958711189208338,0.15473345838309324,72
0.45694390932718915,0.0672261511440741,0.02366503079732259,0.004547775754110263,10,4,10,200,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",-0.507735337820121,-0.23736083226866223,-0.14251718667371804,-0.2958711189208338,0.15473345838309324,72
0.1266962687174479,0.021129708645054646,0.01024953524271647,0.002268466480366736,20,1,2,50,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",-0.6126212743641295,-0.12858185800328537,-0.22131147540983642,-0.3208382025924171,0.20976608593938398,78
0.2352886994679769,0.024920884654463786,0.012176752090454102,0.0006322404301732643,20,1,2,100,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-0.4552923695481168,-0.019802883737908505,-0.14251718667371804,-0.20587081331991444,0.18334491097333305,4
0.43639135360717773,0.006516305277571097,0.020958105723063152,0.0003032906950304159,20,1,2,200,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-0.5601783060921253,-0.07419237087059694,-0.12938480521769824,-0.2545851607268068,0.21725856956322998,33
0.13372333844502768,0.020127656120264396,0.007994651794433594,0.00031125311891411325,20,1,5,50,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",-0.4552923695481168,-0.07419237087059694,-0.12938480521769824,-0.219623181878804,0.16815969734119826,11
0.24765729904174805,0.009710774393193624,0.01319559415181478,0.0016701289064184474,20,1,5,100,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-0.4552923695481168,-0.07419237087059694,-0.11625242376167844,-0.21524572139346407,0.17060491782675918,9
0.46015405654907227,0.023924091383913312,0.024170557657877605,0.005394322300691645,20,1,5,200,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-0.507735337820121,-0.07419237087059694,-0.10312004230565863,-0.22834925033212553,0.19790846698251044,16
0.12495581309000652,0.014203286175919892,0.007965644200642904,0.0008154278911917909,20,1,10,50,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50}",-0.4552923695481168,-0.12858185800328537,-0.19504671249779704,-0.2596403133497331,0.14098271653347152,41
0.40532199541727704,0.1219551776517847,0.03067628542582194,0.012526429436368688,20,1,10,100,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",-0.507735337820121,-0.019802883737908505,-0.15564956812973763,-0.2277292632292557,0.2056147396968454,14
0.8814038435618082,0.2402938162815461,0.033402601877848305,0.012798844543272942,20,1,10,200,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",-0.507735337820121,-0.12858185800328537,-0.14251718667371804,-0.2596114608323748,0.17554228758309853,38
0.29560303688049316,0.016865737839721277,0.016394774119059246,0.002480970050749513,20,2,2,50,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",-0.507735337820121,-0.019802883737908505,-0.11625242376167844,-0.214596881773236,0.21098695734233253,7
0.21162541707356772,0.0053284466904391925,0.01258524258931478,0.000800859383483371,20,2,2,100,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-0.5601783060921253,-0.019802883737908505,-0.19504671249779704,-0.25834263410927694,0.2251017244723068,35
0.41202839215596515,0.008659525186386734,0.02318151791890462,0.0033618052747046456,20,2,2,200,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",-0.507735337820121,-0.07419237087059694,-0.20817909395381662,-0.26336893421484486,0.18124442961348705,46
0.10878984133402507,0.0068923126458172645,0.007936477661132812,0.0006815895005201725,20,2,5,50,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",-0.507735337820121,-0.019802883737908505,-0.19504671249779704,-0.24086164468527552,0.2018147268250099,24
0.20485862096150717,0.0029843328895920026,0.01246341069539388,0.0002655102726422125,20,2,5,100,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",-0.6126212743641295,-0.019802883737908505,-0.15564956812973763,-0.2626912420772585,0.2535768799099282,45
0.8698209126790365,0.23468285651457668,0.03937260309855143,0.02513965899517614,20,2,5,200,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",-0.4552923695481168,-0.07419237087059694,-0.11625242376167844,-0.21524572139346407,0.17060491782675918,9
0.18732515970865884,0.09044048218828289,0.017014424006144207,0.01088353796379054,20,2,10,50,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}",-0.5601783060921253,-0.12858185800328537,-0.14251718667371804,-0.27709245025637624,0.20025275641379175,51
