mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.0024454593658447266,0.0006756074978724791,0.0,0.0,gini,None,1,2,"{'criterion': 'gini', 'max_depth': 'None', 'min_samples_leaf': 1, 'min_samples_split': 2}",,,,,,55
0.002288182576497396,0.000768861272696668,0.0,0.0,gini,None,1,5,"{'criterion': 'gini', 'max_depth': 'None', 'min_samples_leaf': 1, 'min_samples_split': 5}",,,,,,55
0.0012442270914713542,0.0003284252249818205,0.0,0.0,gini,None,1,10,"{'criterion': 'gini', 'max_depth': 'None', 'min_samples_leaf': 1, 'min_samples_split': 10}",,,,,,55
0.00179290771484375,1.841542388661148e-05,0.0,0.0,gini,None,2,2,"{'criterion': 'gini', 'max_depth': 'None', 'min_samples_leaf': 2, 'min_samples_split': 2}",,,,,,55
0.0022704601287841797,0.00039838924148394425,0.0,0.0,gini,None,2,5,"{'criterion': 'gini', 'max_depth': 'None', 'min_samples_leaf': 2, 'min_samples_split': 5}",,,,,,55
0.0014150142669677734,8.567756663705515e-05,0.0,0.0,gini,None,2,10,"{'criterion': 'gini', 'max_depth': 'None', 'min_samples_leaf': 2, 'min_samples_split': 10}",,,,,,55
0.0017987887064615886,0.0006880156363568278,0.0,0.0,gini,None,4,2,"{'criterion': 'gini', 'max_depth': 'None', 'min_samples_leaf': 4, 'min_samples_split': 2}",,,,,,55
0.0021630128224690757,0.0005868395319042003,0.0,0.0,gini,None,4,5,"{'criterion': 'gini', 'max_depth': 'None', 'min_samples_leaf': 4, 'min_samples_split': 5}",,,,,,55
0.001590728759765625,0.0006684704536454938,0.0,0.0,gini,None,4,10,"{'criterion': 'gini', 'max_depth': 'None', 'min_samples_leaf': 4, 'min_samples_split': 10}",,,,,,55
0.005279143651326497,0.0011897436889402224,0.0029342174530029297,0.0009537737913704096,gini,10,1,2,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2}",-0.6126212743641295,-0.332542434750867,-1.429490569363653,-0.7915514261595499,0.4653570685855231,32
0.0040587584177653,0.0002152863295584103,0.0026317437489827475,0.0003396761321330028,gini,10,1,5,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5}",-0.6126212743641295,-0.4005292936667275,-1.534549621011811,-0.849233396347556,0.4922665253092661,43
0.007024923960367839,0.002080259785342757,0.002642552057902018,0.0004646588425418179,gini,10,1,10,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10}",-0.5863997902281273,-0.5229056397152765,-1.2456372289793767,-0.7849808863075936,0.3267629888468038,29
0.004785935084025065,0.0017769897238462608,0.0022732416788736978,0.00026996685961272444,gini,10,2,2,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2}",-0.8617253736561494,-0.48211352436576016,-1.4688877137317125,-0.9375755372512073,0.4064035438557394,52
0.0048075517018636065,0.0011899509949815478,0.002252340316772461,0.00038070308618842584,gini,10,2,5,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5}",-0.8748361157241504,-0.4141266654498996,-1.298166754803456,-0.862376511992502,0.36101537473254813,46
0.00448457400004069,0.0010329696979671085,0.0023273626963297525,0.0004331013908114209,gini,10,2,10,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10}",-0.5470675640241243,-0.4005292936667275,-1.2325048475233569,-0.7267005684047362,0.3626263850952428,14
0.003634373346964518,0.00026201513647950347,0.0025806427001953125,0.000266445393942039,gini,10,4,2,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2}",-1.0714972467441664,-0.6044898704143093,-0.9961219813150015,-0.8907030328244924,0.20470928722175363,48
0.006790637969970703,0.0014174828224856092,0.0044057369232177734,0.001169334869026935,gini,10,4,5,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5}",-1.0714972467441664,-0.6044898704143093,-0.7860038780186855,-0.8206636650590537,0.1922237377205478,36
0.0048627058664957685,0.0019671670270947077,0.0023221969604492188,0.0001674483912834277,gini,10,4,10,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10}",-1.0583865046761654,-0.5365030114984486,-0.8910629296668435,-0.8286508152804858,0.21758071165964418,39
0.005592028299967448,0.0023546946423219192,0.002339919408162435,0.00037112210461195743,gini,20,1,2,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2}",-0.5470675640241243,-0.5908924986311372,-1.3506962806275347,-0.8295521144275987,0.3689386468384656,40
0.004224538803100586,0.00032969011009415915,0.0025990804036458335,0.00017244782845459014,gini,20,1,5,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5}",-0.730617952976139,-0.9036320496440957,-1.429490569363653,-1.0212468573279627,0.29718755663045193,54
0.003779331843058268,0.0004377722783275331,0.0023587544759114585,0.00042608650180564944,gini,20,1,10,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 10}",-0.7043964688401367,-0.808450447161891,-1.2456372289793767,-0.9194947149938014,0.2344973520430019,51
